"ITEM","RESULT","VALUE","CRITERIA","COMMENT"
"ACCELEROMETER","PASS","1d","1d",""
"BootToKernel","PASS","PASS","PASS",""
"BootToKernel-PCIE","PASS","PASS","PASS",""
"ChkAudioBoard","PASS","PASS","PASS",""
"ChkBIOSVersion","PASS","PASS","PASS",""
"ChkBoardPresent","PASS","PASS","PASS",""
"ChkCPLDVersion","PASS","PASS","PASS",""
"ChkCPUInfo","PASS","PASS","PASS",""
"ChkClock","FAIL","PASS","","no criteria"
"ChkDDRSize","PASS","PASS","PASS",""
"ChkDDRSpeed","PASS","PASS","PASS",""
"ChkDP1","PASS","PASS","PASS",""
"ChkDP2","PASS","PASS","PASS",""
"ChkDiscoverI2C","FAIL","PASS","","no criteria"
"ChkEEPROM","PASS","51","51",""
"ChkEMMCName","PASS","PASS","PASS",""
"ChkEMMCSize","PASS","PASS","PASS",""
"ChkFPGA-HDMI1","FAIL","PASS","","no criteria"
"ChkFPGA-HDMI2","FAIL","[]","","no value"
"ChkFPGA-OneWire","FAIL","[]","","no value"
"ChkFPGA-discover","FAIL","[]","","no value"
"ChkFPGA-emmc","FAIL","[]","","no value"
"ChkFPGA-pcie","FAIL","PASS","","no criteria"
"ChkFPGA-qspi","FAIL","[]","","no value"
"ChkGizmoPort","PASS","PASS","PASS",""
"ChkINA230_1","PASS","40","40",""
"ChkINA230_2","PASS","41","41",""
"ChkINA230_3","PASS","42","42",""
"ChkINA230_4","PASS","43","43",""
"ChkINA230_5","PASS","44","44",""
"ChkLMH1219","FAIL","1d","","no criteria"
"ChkMBTMP108_1","PASS","48","48",""
"ChkMBTMP108_2","PASS","49","49",""
"ChkMBTMP108_3","PASS","4a","4a",""
"ChkMBTMP108_4","PASS","4b","4b",""
"ChkMainBoard","PASS","PASS","PASS",""
"ChkOROMVersion","PASS","PASS","PASS",""
"ChkPCIE","FAIL","PASS","","no criteria"
"ChkPowerDeliveryDP1","PASS","PASS","PASS",""
"ChkPowerDeliveryDP2","PASS","PASS","PASS",""
"ChkRTL8367EEPROM","PASS","PASS","PASS",""
