"ITEM","VALUE","MIN","MAX"
"BootToKernel","PASS","",""
"ChkBoardPresent","PASS","",""
"ChkAudioBoard","PASS","",""
"ChkMainBoard","PASS","",""
"ChkVideoBoard","PASS","",""
"ChkCPUInfo","PASS","",""
"ChkDDRSpeed","PASS","",""
"ChkDDRSize","PASS","",""
"ChkEMMCName","PASS","",""
"ChkEMMCSize","PASS","",""
"ChkSSDName","PASS","",""
"ChkSSDSize","PASS","",""
"ChkINA230_1","40","40","40"
"ChkINA230_2","41","41","41"
"ChkINA230_3","42","42","42"
"ChkINA230_4","43","43","43"
"ChkINA230_5","44","44","44"
"ChkMBTMP108_1","48","48","48"
"ChkMBTMP108_2","49","49","49"
"ChkMBTMP108_3","4a","4a","4a"
"ChkMBTMP108_4","4b","4b","4b"
"ACCELEROMETER","1d","1d","1d"
"ECOMPASS","1e","1e","1e"
"ChkSN65DP159_1","2c","2c","2c"
"ChkSN65DP159_2","2e","2e","2e"
"ChkEEPROM","51","51","51"
"WriteMacWGI210","PASS","",""
"Readi210-Mac","","",""
"WriteMacFPGA","PASS","",""
"ReadFPGA-Mac","","",""
"ChkSN74CB3Q3306APWR","50","50","50"
"ChkRTL8367EEPROM","PASS","",""
"ChkBIOSVersion","PASS","",""
"ChkUSBTypeCVersion1","PASS","",""
"ChkUSBTypeCVersion2","PASS","",""
"ChkOROMVersion","PASS","",""
"ChkCPLDVersion","PASS","",""
"ChkDP1","PASS","",""
"ChkDP2","PASS","",""
"ChkGizmoPort","PASS","",""
"LED_red","PASS","",""
"LED_green","PASS","",""
"LED_both","PASS","",""
"ChkUSB_TypeA1_boot_drive","PASS","",""
"ChkUSB_eth_devices","PASS","",""
"Chkethernet_i210","PASS","",""
"Chkethernet_i219","PASS","",""
"Chkethernet_wlan","PASS","",""
"Chkethernet_usb","PASS","",""
"Chkethernet_switch","PASS","",""
"Chktpm_SLB9665","PASS","",""
"PCIE_test_Reboot","NOW","",""
"BootToKernel-PCIE","PASS","",""
"PCIE_test_Result","PASS","",""
"ChkPowerDeliveryDP1","PASS","",""
"ChkPowerDeliveryDP2","PASS","",""
"DP1","PASS","",""
"DP2","PASS","",""
