"ITEM","VALUE","MIN","MAX"
"BootToKernel","PASS","",""
"ChkVBTMP108_1","4a","4a","4a"
"ChkVBTMP108_2","4b","4b","4b"
"ChkSi5340","77","77","77"
"ChkLMH1219","1d","1d","1d"
"ChkClock","PASS","",""
"PCIE_test_Reboot","NOW","",""
"BootToKernel-PCIE","PASS","",""
"PCIE_test_Result","PASS","",""
"ChkFPGA-pcie","PASS","",""
"ChkFPGA-discover","PASS","",""
"ChkFPGA-HDMI1","PASS","",""
"ChkFPGA-HDMI2","PASS","",""
"ChkFPGA-OneWire","PASS","",""
"ChkFPGA-qspi","PASS","",""
"ChkFPGA-emmc","PASS","",""
"HDMI1_Reboot","NOW","",""
"BootToKernel-HDMI1","PASS","",""
"HDMI1","PASS","",""
"HDMI2_Reboot","NOW","",""
"BootToKernel-HDMI2","PASS","",""
"HDMI2","PASS","",""
"SDI_Reboot","NOW","",""
"BootToKernel-SDI","PASS","",""
"SDI","PASS","",""
