"ITEM","RESULT","VALUE","CRITERIA","COMMENT"
"Audio_Out_L_AIN_1","PASS","PASS","PASS",""
"Audio_Out_L_AIN_2","PASS","PASS","PASS",""
"Audio_Out_L_AIN_3","PASS","PASS","PASS",""
"Audio_Out_L_AIN_4","PASS","PASS","PASS",""
"Audio_Out_L_AIN_5","PASS","PASS","PASS",""
"Audio_Out_L_AIN_6","PASS","PASS","PASS",""
"BootToKernel","PASS","PASS","PASS",""
"ChkXMOS","PASS","PASS","PASS",""
"ChkXMOS-test","PASS","PASS","PASS",""
"ChkXMOSVersion","PASS","PASS","PASS",""
"Headset_Loopback_L","PASS","PASS","PASS",""
"Headset_Loopback_R","PASS","PASS","PASS",""
"Headset_preamp_gain","FAIL","PASS","","no criteria"
"Speaker","PASS","PASS","PASS",""
