"ITEM","VALUE","MIN","MAX"
"CKWIFI2G","-30","-40","-25"
"CKWIFI2GND","-55","-60","-50"
"CKWIFI5G","-70","-65","-45"
"CheckBTP","PASS","",""
"CkMBINT","0","",""
"EMMC_SIZE","7456","7456","7457"
"HDMI_INPUT","connected","",""
"HDMI_STAT","PASS","",""
"IMU_INT1","Pass","",""
"IMU_INT2","Pass","",""
"IMG_VER","0.0.5","",""
"MEM_SIZE","1931","",""
"VeriCBIOP","Pass","",""
"VeriIMU","Pass","",""
"VeriLB1I2C","PASS","",""
"VeriLB2I2C","PASS","",""
"VeriUBI2C","PASS","",""
"VeriUSB2","Pass","",""
"VeriUART","Pass","",""
"BT","80:D2:1D:81:2C:3A","",""
"WIFI","80:D2:1D:81:2C:3B","",""
"WrPCBASN","PASS","",""
"RePCBASN","281818010518D000118QN276-0301181111U","",""
"BIOS_DATE","01/26/2018","",""
"BIOS_VER","2.39.2","",""
"BIOS_VEN","coreboot","",""
